disno.,total_deaths,no._injured,no._affected,no._homeless,total_affected,magnitude,total_damage_000_us$,"total_damage,_adjusted_000_us$"
2010-0009-BDI,0.0,0.0,1000.0,0.0,1000.0,190.0,0.0,0.0
2010-0010-CHN,30.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2010-0012-PAK,19.0,0.0,26700.0,0.0,26700.0,190.0,18000.0,25152.0
2010-0013-BRA,13.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2010-0014-CHN,12.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2010-0015-DZA,15.0,15.0,0.0,0.0,15.0,190.0,0.0,0.0
2010-0017-HTI,222570.0,300000.0,3400000.0,0.0,3700000.0,7.0,8000000.0,11178868.0
2010-0018-IRN,0.0,0.0,750.0,0.0,750.0,5.0,0.0,0.0
2010-0019-COL,15.0,0.0,3.0,0.0,3.0,190.0,0.0,0.0
2010-0020-PHL,2.0,0.0,40198.0,0.0,40198.0,190.0,22.0,31.0
2010-0021-EGY,12.0,0.0,3500.0,0.0,3500.0,226100.0,0.0,0.0
2010-0021-ISR,2.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2010-0021-PSE,0.0,0.0,0.0,500.0,500.0,190.0,0.0,0.0
2010-0023-BOL,26.0,0.0,227860.0,0.0,227860.0,102200.0,0.0,0.0
2010-0026-IDN,5.0,0.0,28500.0,0.0,28500.0,190.0,0.0,0.0
2010-0027-USA,0.0,30.0,600.0,0.0,630.0,6.5,12500.0,17467.0
2010-0028-PAN,0.0,0.0,1000.0,0.0,1000.0,23340.0,0.0,0.0
2010-0030-UKR,16.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2010-0031-PHL,2.0,2.0,925.0,0.0,927.0,190.0,78.0,109.0
2010-0033-PHL,1.0,0.0,15480.0,0.0,15480.0,190.0,0.0,0.0
2010-0034-IDN,10.0,0.0,225.0,130.0,355.0,190.0,0.0,0.0
2010-0035-LBN,90.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2010-0036-CHN,30.0,1100.0,1880000.0,0.0,1881100.0,190.0,90000.0,125762.0
2010-0039-BEL,14.0,21.0,0.0,0.0,21.0,190.0,0.0,0.0
2010-0040-CMR,0.0,5.0,0.0,1750.0,1755.0,190.0,0.0,0.0
2010-0041-IND,32.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2010-0042-PER,18.0,20.0,0.0,0.0,20.0,190.0,0.0,0.0
2010-0043-TZA,24.0,51.0,0.0,0.0,51.0,190.0,0.0,0.0
2010-0044-PYF,1.0,11.0,3400.0,0.0,3411.0,260.0,11000.0,15371.0
2010-0045-USA,2.0,0.0,0.0,0.0,0.0,190.0,2000000.0,2794717.0
2010-0047-CHL,10.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2010-0048-AFG,169.0,130.0,0.0,0.0,130.0,190.0,0.0,0.0
2010-0050-BGR,3.0,0.0,0.0,0.0,0.0,-38.3,0.0,0.0
2010-0050-ROU,52.0,0.0,0.0,0.0,0.0,-34.0,0.0,0.0
2010-0050-RUS,13.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0
